               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11276,             0.03712,             0.02945,            0.098321,             0.20139,            0.057629,           0.0096982,            0.088669,            0.036394,             0.02283,              0.0009,              0.0009,              0.0919
                   1,            0.087495,            0.045177,            0.021264,             0.39874,             0.54859,             0.49172,             0.16753,            0.067497,            0.030377,            0.014813,           0.0018937,           0.0018937,            0.082894
                   2,            0.077488,            0.032783,            0.016333,               0.331,             0.58333,             0.40301,              0.1567,            0.073278,            0.021373,            0.010931,           0.0028809,           0.0028809,            0.073881
                   3,            0.076747,            0.024276,            0.012557,             0.42375,             0.24306,             0.30826,             0.12324,            0.084993,            0.015439,           0.0088921,           0.0038614,           0.0038614,            0.064861
                   4,            0.071047,            0.021323,            0.010574,             0.25188,             0.45139,             0.38948,             0.13259,            0.076506,            0.014667,           0.0085736,           0.0048353,           0.0048353,            0.055835
                   5,            0.083327,             0.01763,            0.011035,             0.20255,             0.77778,             0.28263,             0.11062,            0.087266,            0.012292,           0.0085169,           0.0058027,           0.0058027,            0.046803
                   6,            0.082919,            0.018115,            0.011097,             0.46117,             0.68498,             0.53078,             0.17802,            0.074051,            0.011494,           0.0078068,           0.0067634,           0.0067634,            0.037763
                   7,            0.074464,            0.017495,           0.0096752,             0.36635,             0.86684,             0.58194,             0.24977,            0.076258,            0.010736,           0.0092653,           0.0077175,           0.0077175,            0.028718
                   8,            0.072115,            0.015267,           0.0092474,             0.60803,             0.77655,             0.74016,              0.2517,            0.065677,            0.011334,           0.0073274,            0.008665,            0.008665,            0.019665
                   9,            0.066811,            0.015147,           0.0090074,             0.66546,             0.78325,             0.65542,             0.26997,            0.070772,            0.011097,           0.0078602,            0.009606,            0.009606,            0.010606
                  10,            0.066884,            0.015457,           0.0090086,             0.58539,             0.84722,             0.68342,             0.31784,            0.065385,            0.013646,           0.0076077,             0.00967,             0.00967,             0.00967
                  11,            0.060984,            0.017271,           0.0090745,             0.67511,             0.97191,             0.77066,             0.27601,            0.055255,            0.014924,           0.0073618,             0.00967,             0.00967,             0.00967
                  12,            0.054967,            0.014562,           0.0080796,             0.72058,             0.94697,             0.97216,             0.55349,            0.049573,            0.011046,           0.0070292,            0.009637,            0.009637,            0.009637
                  13,            0.051827,            0.015123,           0.0086986,             0.68867,             0.94444,             0.93141,             0.53246,            0.044238,            0.011576,           0.0069161,            0.009604,            0.009604,            0.009604
