               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11418,            0.038135,            0.030212,            0.046784,             0.13447,            0.024632,            0.004054,            0.091394,            0.034028,            0.022891,               0.001,               0.001,               0.091
                   1,            0.085511,            0.041253,            0.018733,             0.51699,             0.63133,             0.57382,             0.11991,              0.0798,            0.026093,            0.011804,           0.0020931,           0.0020931,            0.081093
                   2,            0.076374,            0.030425,            0.012902,             0.59112,             0.83951,             0.61592,             0.12357,              0.0654,            0.018721,           0.0086065,           0.0031789,           0.0031789,            0.071179
                   3,            0.072617,            0.026303,            0.010922,             0.61387,             0.69142,              0.7154,             0.27612,            0.090733,             0.01392,           0.0081207,           0.0042574,           0.0042574,            0.061257
                   4,             0.08334,            0.019883,           0.0097533,             0.22348,             0.88889,             0.36223,             0.19228,            0.078666,            0.012714,           0.0094953,           0.0053287,           0.0053287,            0.051329
                   5,            0.077877,            0.021284,            0.009649,             0.27959,             0.86909,             0.48166,             0.14091,            0.076602,            0.011484,           0.0072758,           0.0063927,           0.0063927,            0.041393
                   6,            0.073121,            0.019524,           0.0083902,             0.34047,             0.58642,             0.51024,             0.10607,            0.074989,            0.011293,           0.0071596,           0.0074495,           0.0074495,             0.03145
                   7,            0.067914,            0.018132,           0.0087009,             0.89685,             0.55129,             0.88935,             0.27442,            0.067356,            0.015085,           0.0066685,            0.008499,            0.008499,            0.021499
                   8,            0.069233,            0.017273,           0.0082786,             0.30439,             0.98112,             0.44964,             0.16076,            0.085676,            0.017029,            0.006729,           0.0095413,           0.0095413,            0.011541
                   9,            0.064797,            0.016851,           0.0084774,             0.49798,             0.97531,             0.69042,             0.20418,              0.0688,            0.015358,             0.00668,            0.009703,            0.009703,            0.009703
                  10,             0.05655,            0.015805,           0.0073585,             0.43286,             0.95643,             0.71951,             0.19099,             0.07641,            0.021426,           0.0062299,            0.009703,            0.009703,            0.009703
