               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029103,           0.0096804,           0.0070063,              0.9982,             0.99471,               0.995,             0.87437,            0.025475,           0.0053067,            0.007201,            0.008845,            0.008845,            0.008845
                  37,            0.028701,           0.0087747,           0.0069918,             0.99935,             0.99206,             0.99495,             0.86626,             0.02594,           0.0055051,           0.0073804,            0.008812,            0.008812,            0.008812
                  38,             0.02918,            0.009332,           0.0070764,              0.9997,             0.99206,             0.99497,             0.87697,            0.025143,           0.0053425,           0.0071884,            0.008779,            0.008779,            0.008779
                  39,            0.028459,           0.0090161,           0.0066369,             0.99872,             0.99206,              0.9927,             0.88198,            0.025281,           0.0053537,           0.0072883,            0.008746,            0.008746,            0.008746
                  40,            0.028773,           0.0092872,           0.0067877,             0.99853,             0.99471,               0.995,             0.87781,            0.024968,           0.0053747,           0.0072926,            0.008713,            0.008713,            0.008713
                  41,            0.028468,           0.0095734,           0.0067227,             0.99857,             0.99735,               0.995,             0.89385,            0.024905,           0.0052854,           0.0072472,             0.00868,             0.00868,             0.00868
                  42,            0.027938,           0.0092456,           0.0067022,             0.99929,             0.99471,               0.995,             0.88438,            0.025565,           0.0053859,           0.0071783,            0.008647,            0.008647,            0.008647
                  43,            0.028286,           0.0091914,           0.0067207,             0.99953,             0.99206,             0.99487,             0.89186,            0.024772,           0.0053477,           0.0071156,            0.008614,            0.008614,            0.008614
                  44,            0.028006,           0.0089096,           0.0067598,             0.99949,             0.99206,              0.9949,             0.87938,            0.025118,           0.0053037,           0.0072504,            0.008581,            0.008581,            0.008581
                  45,            0.027426,           0.0089925,            0.006612,             0.99945,             0.99206,               0.995,             0.88768,            0.024624,           0.0054233,           0.0072468,            0.008548,            0.008548,            0.008548
                  46,            0.028423,           0.0089323,           0.0066081,             0.99943,             0.99206,             0.99495,             0.84843,            0.025841,           0.0053313,           0.0071916,            0.008515,            0.008515,            0.008515
                  47,            0.029178,           0.0091736,           0.0068573,             0.99973,             0.99206,             0.99497,             0.88937,            0.025009,           0.0055037,           0.0071739,            0.008482,            0.008482,            0.008482
                  48,            0.028455,           0.0092317,           0.0067876,             0.99963,             0.99206,             0.99497,             0.88108,            0.024783,           0.0053443,           0.0071236,            0.008449,            0.008449,            0.008449
                  49,             0.02827,           0.0090744,           0.0065475,             0.99765,              0.9947,               0.995,             0.88931,            0.024446,           0.0052687,           0.0071847,            0.008416,            0.008416,            0.008416
                  50,            0.027205,           0.0086863,           0.0063416,             0.99946,             0.99206,             0.99497,             0.89796,            0.024745,           0.0052589,           0.0071288,            0.008383,            0.008383,            0.008383
                  51,            0.026706,           0.0090452,           0.0064048,             0.99817,             0.99734,               0.995,             0.86222,            0.026131,           0.0053456,            0.007101,             0.00835,             0.00835,             0.00835
